"Nest ID_marking","Adult1","Adult2","Adult3","Chick1","Chick2","Chick3","Status","Est_LayDate","Est_HatchDate","HatchDate","Est_TranspondDate5","Est_TranspondDate6","Est_FledgeDate","Eggs","Chicks","diffchicks","Notes","__id"
"B54",NA,NA,NA,NA,NA,NA,"Chicks","2022-11-08","2022-12-13","2022-12-05","2023-01-09","2023-01-16","2023-01-30",NA,"1",NA,NA,NA
"D15",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-10","2022-11-14","2022-12-05","2023-01-09","2023-01-16","2023-01-30","0","2",NA,NA,NA
"F32",NA,NA,NA,NA,NA,NA,"Chicks","2022-11-01","2022-12-06","2022-12-05","2023-01-09","2023-01-16","2023-01-30","1","1",NA,NA,NA
"F36",NA,NA,NA,NA,NA,NA,"Chicks","2022-11-01","2022-12-06","2022-12-05","2023-01-09","2023-01-16","2023-01-30","1","1",NA,NA,NA
"G19",NA,NA,NA,NA,NA,NA,"Chicks","2022-09-20","2022-10-25","2022-12-05","2023-01-09","2023-01-16","2023-01-30",NA,"1",NA,NA,NA
"G4",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-31","2022-12-05","2022-12-05","2023-01-09","2023-01-16","2023-01-30","0","2",NA,NA,NA
"G49",NA,NA,NA,NA,NA,NA,"Chicks","2022-11-01","2022-12-06","2022-12-05","2023-01-09","2023-01-16","2023-01-30","1","1",NA,NA,NA
"G54",NA,NA,NA,NA,NA,NA,"Fledged","2022-12-05","2023-01-09","2022-12-05","2023-01-09","2023-01-16","2023-01-30","0","2",NA,NA,NA
"H22",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-26","2022-11-30","2022-12-05","2023-01-09","2023-01-16","2023-01-30","1","1",NA,NA,NA
"A13",NA,NA,NA,NA,NA,NA,"Chicks","2022-11-01","2022-12-06","2022-12-12","2023-01-16","2023-01-23","2023-02-06","0","2",NA,NA,NA
"A27",NA,NA,NA,NA,NA,NA,"Chicks","2022-09-19","2022-10-24","2022-12-12","2023-01-16","2023-01-23","2023-02-06","0","2",NA,NA,NA
"B13",NA,NA,NA,NA,NA,NA,"Chicks","2022-11-14","2022-12-19","2022-12-12","2023-01-16","2023-01-23","2023-02-06",NA,"1",NA,NA,NA
"D24",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-31","2022-12-05","2022-12-12","2023-01-16","2023-01-23","2023-02-06","0","2",NA,NA,NA
"G18",NA,NA,NA,NA,NA,NA,"Chicks","2022-11-14","2022-12-19","2022-12-12","2023-01-16","2023-01-23","2023-02-06",NA,"1",NA,NA,NA
"G29",NA,NA,NA,NA,NA,NA,"Chicks","2022-11-14","2022-12-19","2022-12-12","2023-01-16","2023-01-23","2023-02-06","0","2",NA,NA,NA
"B18",NA,NA,NA,NA,NA,NA,"Chicks","2022-11-08","2022-12-13","2022-12-19","2023-01-23","2023-01-30","2023-02-13","1","1",NA,NA,NA
"G22",NA,NA,NA,NA,NA,NA,"Fledged","2022-11-14","2022-12-19","2022-12-19","2023-01-23","2023-01-30","2023-02-13","1","1",NA,NA,NA
"H25",NA,NA,NA,NA,NA,NA,"Chicks","2022-11-29","2023-01-03","2022-12-29","2023-02-02","2023-02-09","2023-02-23","1","1",NA,NA,NA
"G41",NA,NA,NA,NA,NA,NA,"Chicks","2022-11-28","2023-01-02","2023-01-02","2023-02-06","2023-02-13","2023-02-27","1","1",NA,NA,NA
